section,model,2010m1-2019m12 | h=3,2010m1-2019m12 | h=6,2010m1-2019m12 | h=12,2010m1-2019m12 | h=24,2020m1-2024m12 | h=3,2020m1-2024m12 | h=6,2020m1-2024m12 | h=12,2020m1-2024m12 | h=24
Level 1 (K=10),Albacorecomps,1.6517353084028383,1.8891945103128875,2.3208085696065313,2.9182088396130244,1.1455005553263962,0.9705281753469915,1.0078018955763284,1.0716524371615357
Level 1 (K=10),Albacoreranks,1.3274853360314935,1.1397838971082304,1.1132356045494303,1.0820734316277816,1.2620313879939402,1.1101453943787827,1.0863674131710226,0.9682729352789872
Level 2 (K=47),Albacorecomps,1.4184992137001304,1.6590890048655047,2.057909648874524,2.6195659672292773,1.162063850568579,0.9753998127334926,1.026871251578464,1.0754220326328316
Level 2 (K=47),Albacoreranks,1.3256594845358152,1.102224262398671,1.0781830507967674,1.0247254865258146,1.2123744070234799,1.1040584154059916,1.1027652099509921,0.9997842158921496
Benchmarks,Xbm (w0=0),1.0149444391266471,1.0381794314982675,1.0755175549234348,1.1199098530442129,1.053527948050765,1.0840938113582295,1.10593509684044,1.1287075668149662
Benchmarks,Xbm+,0.9770354375001201,0.9632345828711778,1.0077219009958613,1.0168287066127186,0.8044314265231792,0.8302626712280501,0.9147184629033673,0.9433962643699229
Benchmarks,Xbm+ (w0=0),0.9853057893872262,0.9885713863566753,1.0723440334108971,1.128003364797176,0.8168509513432258,0.8655494355686043,0.9776493270990538,1.0329371164115755
