section,model,2010m1-2019m12 | h=1,2010m1-2019m12 | h=3,2010m1-2019m12 | h=6,2010m1-2019m12 | h=12,2010m1-2019m12 | h=24,2020m1-2024m12 | h=1,2020m1-2024m12 | h=3,2020m1-2024m12 | h=6,2020m1-2024m12 | h=12,2020m1-2024m12 | h=24
Level 1 (K=10),Albacorecomps,1.4316926366245053,1.1879155320101957,0.9701647213318783,0.835087750736003,0.8418617371416585,1.153514937400606,1.2019650070331322,1.0370437292402903,1.027114471225479,1.0506057505242046
Level 1 (K=10),Albacoreranks,1.5866182602181236,1.1782719649576492,0.8347684071568668,0.595230272417542,0.46253283128952094,1.4165479158453294,1.3708444863267326,1.304995181453044,1.2572754062426337,1.1715266256226826
Level 2 (K=47),Albacorecomps,1.3520710718046178,1.131720571827544,0.9316995385460921,0.735952441203666,0.9685154340270732,1.171021903104508,0.9846405674591294,0.8864288565020688,0.9632400821277908,1.0915627603318148
Level 2 (K=47),Albacoreranks,1.6737650908654604,1.1715356355868707,0.8292215391099629,0.5985676622722774,0.46252902939547935,1.3860029058212644,1.3166950337287255,1.3123141893552506,1.2778118158583058,1.1980467223857318
Benchmarks,Xbm (w0=0),1.0263217525749,1.030662983236653,1.0216326830830946,1.0142801709163518,1.0113144559775296,1.0567192238896692,1.0851831926542446,1.0823718075409283,1.084589538100449,1.1205228860600498
Benchmarks,Xbm+,1.0132512841771943,0.9956042728598425,1.0,0.9999999999999999,0.9999999999999999,0.9763161102120549,0.9683142823913156,0.9997996922851137,1.0,1.0000000000000002
Benchmarks,Xbm+ (w0=0),1.0221353010071799,1.019724087646617,1.0218462301144688,1.0142801709163518,1.0113144559775293,0.9787757387485047,1.024397887537126,1.076196400445952,1.084589538100449,1.1205228860600498
