section,model,2010m1-2019m12 | h=3,2010m1-2019m12 | h=12,2010m1-2019m12 | h=24,2020m1-2024m12 | h=3,2020m1-2024m12 | h=12,2020m1-2024m12 | h=24
Level 1 (K=10),Albacorecomps,1.0498751654223963,0.7385752108685254,0.744143214159866,1.3992189787585914,1.0362760270778228,0.8870853497763983
Level 1 (K=10),Albacoreranks,1.0177868907908207,0.5047373020314696,0.38361731631541446,1.5787828235685568,1.2285218884409799,0.9680325036171653
Level 2 (K=47),Albacorecomps,1.0130856081278887,0.6637327835827976,0.8546124114029635,1.2801935752552187,0.9738102473218029,0.9808849986269872
Level 2 (K=47),Albacoreranks,1.0163870051074222,0.488844591325731,0.3632862887222817,1.5166626660413733,1.2470653867290937,0.999535959670446
Benchmarks,Xbm (w0=0),0.9970010965659397,0.9956743189280909,0.9930358099835883,1.0008406968232904,0.9929490773808617,0.9853181048012184
Benchmarks,Xbm+,0.977321998621839,0.9455835620080901,0.9376919408584429,0.9547655540626314,1.1447321071318146,1.091149124954927
Benchmarks,Xbm+ (w0=0),0.9743438693483061,0.9397168847046558,0.9279142319228257,0.9585495981473388,1.143560218462135,1.0835443526215265
