date,model,horizon,forecast,actual
2005-01-01,RW,1,0.00634679152995421,-0.016178379983400326
2005-01-01,AR(1) on YoY,1,0.0056420397645754045,-0.016178379983400326
2005-01-01,AR_lags,1,-0.008506322686601436,-0.016178379983400326
2005-01-01,AR+_lags,1,-0.010101998896950746,-0.016178379983400326
2005-01-01,AR_ranks,1,-0.02759609986066506,-0.016178379983400326
2005-02-01,RW,1,-0.016178379983400326,-0.010736370211628099
2005-02-01,AR(1) on YoY,1,-0.016016955980329026,-0.010736370211628099
2005-02-01,AR_lags,1,-0.00035771848188126035,-0.010736370211628099
2005-02-01,AR+_lags,1,0.0005067929642922542,-0.010736370211628099
2005-02-01,AR_ranks,1,-0.008694609217928462,-0.010736370211628099
2005-03-01,RW,1,-0.010736370211628099,0.0024824615043902063
2005-03-01,AR(1) on YoY,1,-0.010784129111488136,0.0024824615043902063
2005-03-01,AR_lags,1,-0.007877146332625994,0.0024824615043902063
2005-03-01,AR+_lags,1,-0.00834138261102059,0.0024824615043902063
2005-03-01,AR_ranks,1,-0.02714827760726591,0.0024824615043902063
2005-04-01,RW,1,0.0024824615043902063,0.01014301883603963
2005-04-01,AR(1) on YoY,1,0.001923751121077616,0.01014301883603963
2005-04-01,AR_lags,1,0.003538358215960858,0.01014301883603963
2005-04-01,AR+_lags,1,0.0030289921033561902,0.01014301883603963
2005-04-01,AR_ranks,1,-0.011686505893383946,0.01014301883603963
2005-05-01,RW,1,0.01014301883603963,-0.016303491619066673
2005-05-01,AR(1) on YoY,1,0.009291991888018665,-0.016303491619066673
2005-05-01,AR_lags,1,-0.0005337395051218523,-0.016303491619066673
2005-05-01,AR+_lags,1,-0.0014719383261445136,-0.016303491619066673
2005-05-01,AR_ranks,1,-0.0026191041142234195,-0.016303491619066673
2005-06-01,RW,1,-0.016303491619066673,-0.01483576946667379
2005-06-01,AR(1) on YoY,1,-0.01611153987712342,-0.01483576946667379
2005-06-01,AR_lags,1,-0.005233290315351097,-0.01483576946667379
2005-06-01,AR+_lags,1,-0.004076134615916507,-0.01483576946667379
2005-06-01,AR_ranks,1,0.00801009293396757,-0.01483576946667379
2005-07-01,RW,1,-0.01483576946667379,-0.0164117787998667
2005-07-01,AR(1) on YoY,1,-0.014702953998933573,-0.0164117787998667
