model,Window A (2010m1-2019m12) | h=1,Window A (2010m1-2019m12) | h=3,Window A (2010m1-2019m12) | h=6,Window A (2010m1-2019m12) | h=12,Window A (2010m1-2019m12) | h=24,Window B (2020m1-2025m12) | h=1,Window B (2020m1-2025m12) | h=3,Window B (2020m1-2025m12) | h=6,Window B (2020m1-2025m12) | h=12,Window B (2020m1-2025m12) | h=24
AR_lags,1.0924308644649119,0.918949308775779,0.862946595594744,0.7887061588979962,0.6642278648035073,1.4213357581932018,1.1829209955385205,1.2277004870527677,1.3226915761534828,1.2286709952411425
AR+_lags,1.0836266178586769,0.9151980306518419,0.8612782872132669,0.7900763252425339,0.6702793315418751,1.4143364018431641,1.1782989003331517,1.2214853250390587,1.3058586779214005,1.1479165788779861
AR_ranks,1.380678835271994,1.023068794752404,0.9373064634409122,0.811030290172294,0.6941005156300507,1.524719574417947,1.2343220726224833,1.1617265669149133,1.1012473761049706,1.1872657426852378
AR(1) on YoY,0.999646244208584,0.9986505979843306,0.9705123834587939,0.8019199112819938,0.6639314414754007,1.0121730051482563,1.0549829205191419,1.1652352700624173,1.311086861077917,1.253880180917539
