model,Window A (2010m1-2019m12) | h=1,Window A (2010m1-2019m12) | h=3,Window A (2010m1-2019m12) | h=6,Window A (2010m1-2019m12) | h=12,Window A (2010m1-2019m12) | h=24,Window B (2020m1-2025m12) | h=1,Window B (2020m1-2025m12) | h=3,Window B (2020m1-2025m12) | h=6,Window B (2020m1-2025m12) | h=12,Window B (2020m1-2025m12) | h=24
AR_lags,1.0378327634141944,0.8319104693358086,0.8522099085011365,0.8154355604352869,0.7029516574682944,1.266325061962774,1.0437336455292046,1.1359862118714867,1.2985872861477008,1.2315843920402738
AR+_lags,1.0324664209094412,0.8255894867077419,0.8467452822935213,0.8103253562051231,0.7024412490813664,1.2533681279650715,1.0389849030276896,1.1296741908776908,1.264475922647187,1.1631677085351815
AR_ranks,1.51162097479811,1.1175215528632252,0.981101850230137,0.8202652517427105,0.7079022832739378,1.443384814778713,1.1689843639413164,1.2361446786586456,1.07855715714866,1.078052426539037
AR(1) on YoY,0.9938950543579433,0.978263993426811,0.9669549163435751,0.8163506479798291,0.6969975290972333,1.0207203257635498,1.0752979959093434,1.159967407726122,1.2779224694701765,1.2334286579792206
