variant,n_obs,alpha,sum_b,b_top,b_bot,b_R1,b_R2,b_R3,b_R4,b_R5,b_R6,b_R7,b_R8,b_R9,b_R10,b_R11,b_R12
raw,650,-0.007845320561460922,0.5272601751086803,0.06414845388496629,0.0016997721122324707,0.0016997721122324707,0.0,0.0,0.0,0.0,0.0,0.0,0.46141194911148153,0.0,0.0,0.0,0.06414845388496629
drop,578,-0.007220198916801535,0.5227531893315686,0.06776318817848656,0.0018517331502721538,0.0018517331502721538,0.0,0.0,0.0,0.0,0.0,0.0,0.4531382680028099,0.0,0.0,0.0,0.06776318817848656
interpolate,650,-0.013121432799513333,0.47259265077516066,0.0,0.000699400169302718,0.000699400169302718,0.0,0.0,0.10466026786107875,0.0,0.0,0.0,0.07180656839226482,0.0,0.0,0.2954264143525144,0.0
